epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,9559.49,0.73502,0.42534,1.06307,0.90016,0.90322,0.92945,0.71516,0.83843,0.46864,1.10927,0.000463579,0.000463579,0.000463579
81,9667.78,0.73092,0.42701,1.06571,0.91303,0.89557,0.92229,0.71199,0.83539,0.46598,1.11468,0.000453258,0.000453258,0.000453258
82,9772.96,0.73382,0.42411,1.06289,0.89115,0.87798,0.91001,0.70533,0.84328,0.48554,1.11647,0.00044296,0.00044296,0.00044296
83,9880.83,0.73268,0.42649,1.06716,0.88629,0.87771,0.90741,0.69745,0.84319,0.48325,1.11689,0.000432689,0.000432689,0.000432689
84,9979.22,0.72327,0.42016,1.0565,0.91354,0.87585,0.90507,0.69747,0.83686,0.47272,1.12557,0.000422449,0.000422449,0.000422449
85,10094.3,0.72816,0.42494,1.06367,0.92301,0.88294,0.92155,0.70542,0.837,0.47198,1.1142,0.000412246,0.000412246,0.000412246
86,10202.9,0.72082,0.42171,1.05703,0.9152,0.85831,0.91886,0.71207,0.82272,0.46321,1.11198,0.000402084,0.000402084,0.000402084
87,10317.5,0.71923,0.41056,1.05704,0.89594,0.87004,0.91721,0.70705,0.81871,0.45805,1.10578,0.000391966,0.000391966,0.000391966
88,10433.3,0.71132,0.40933,1.0546,0.90142,0.86986,0.91029,0.70639,0.82131,0.46339,1.10084,0.000381899,0.000381899,0.000381899
89,10546.2,0.7112,0.4133,1.05439,0.89213,0.8819,0.91639,0.71285,0.81334,0.46625,1.09635,0.000371885,0.000371885,0.000371885
90,10659,0.71201,0.40987,1.05344,0.89914,0.88858,0.9145,0.71183,0.81073,0.44443,1.09266,0.000361929,0.000361929,0.000361929
91,10774.8,0.70925,0.40877,1.05028,0.93425,0.88593,0.92754,0.72367,0.80768,0.45004,1.08833,0.000352037,0.000352037,0.000352037
92,10893.9,0.70472,0.40646,1.04781,0.92713,0.87573,0.92789,0.72412,0.80385,0.4375,1.08594,0.000342211,0.000342211,0.000342211
93,11002.2,0.6964,0.40085,1.0431,0.93246,0.87635,0.92249,0.71931,0.81269,0.44198,1.09499,0.000332457,0.000332457,0.000332457
94,11093.3,0.70368,0.40568,1.05198,0.91959,0.88582,0.91512,0.71552,0.81313,0.45517,1.10046,0.000322778,0.000322778,0.000322778
95,11186.4,0.68899,0.39499,1.03757,0.90587,0.87945,0.92307,0.72128,0.80584,0.44516,1.09561,0.00031318,0.00031318,0.00031318
96,11273.6,0.68803,0.39604,1.04357,0.95676,0.85971,0.92409,0.72695,0.79614,0.44704,1.08904,0.000303665,0.000303665,0.000303665
97,11375,0.68922,0.39546,1.03807,0.90448,0.8792,0.91598,0.71485,0.80212,0.4485,1.09078,0.000294239,0.000294239,0.000294239
98,11485.4,0.69578,0.40097,1.04208,0.92263,0.86884,0.92031,0.7194,0.80572,0.45488,1.09225,0.000284906,0.000284906,0.000284906
99,11596.1,0.67922,0.3871,1.03292,0.93556,0.85278,0.92642,0.72095,0.8118,0.44375,1.09171,0.000275668,0.000275668,0.000275668
100,11705,0.68892,0.39426,1.03866,0.88025,0.88348,0.915,0.71241,0.82007,0.45459,1.1005,0.000266532,0.000266532,0.000266532
101,11814.8,0.6817,0.39811,1.03807,0.91448,0.87887,0.9238,0.7247,0.79841,0.44274,1.09131,0.0002575,0.0002575,0.0002575
102,11909.3,0.683,0.39057,1.03724,0.93211,0.88622,0.92924,0.72676,0.79494,0.44299,1.08559,0.000248577,0.000248577,0.000248577
103,12028,0.67724,0.38904,1.03698,0.93147,0.89229,0.92749,0.72581,0.81124,0.4444,1.09919,0.000239766,0.000239766,0.000239766
104,12253.8,0.67061,0.38556,1.03343,0.90406,0.8884,0.92792,0.72235,0.80627,0.45055,1.0937,0.000231071,0.000231071,0.000231071
105,12492.5,0.67112,0.38269,1.03149,0.93854,0.87634,0.92987,0.72548,0.79876,0.44415,1.09055,0.000222497,0.000222497,0.000222497
