epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,15678.9,1.41577,0.96095,1.47441,0.59947,0.56232,0.561,0.22624,2.14683,1.48484,2.01952,0.000571106,0.000571106,0.000571106
88,15822.4,1.40261,0.94822,1.46348,0.60165,0.56691,0.56082,0.22674,2.14086,1.48516,2.01087,0.000507115,0.000507115,0.000507115
89,15966.3,1.41107,0.94387,1.46479,0.60322,0.56661,0.56152,0.22688,2.14635,1.47909,2.01798,0.000447606,0.000447606,0.000447606
90,16110.2,1.3979,0.92946,1.45322,0.58952,0.56779,0.56191,0.22826,2.14197,1.47303,2.01366,0.00039264,0.00039264,0.00039264
91,16253.1,1.39051,0.9239,1.45553,0.59194,0.56618,0.5603,0.22775,2.14602,1.48011,2.01907,0.00034227,0.00034227,0.00034227
92,16395.2,1.38619,0.9148,1.44678,0.59679,0.5613,0.55704,0.22632,2.14919,1.48426,2.02277,0.000296546,0.000296546,0.000296546
93,16538,1.38843,0.91255,1.44626,0.58776,0.56019,0.55606,0.22687,2.14762,1.48393,2.02133,0.000255513,0.000255513,0.000255513
94,16680.9,1.38167,0.90746,1.44145,0.58592,0.57093,0.55613,0.22662,2.15006,1.48247,2.02317,0.000219212,0.000219212,0.000219212
95,16825.5,1.38287,0.90671,1.44303,0.58834,0.56466,0.5553,0.22693,2.14965,1.48071,2.02449,0.000187678,0.000187678,0.000187678
96,16968.8,1.38039,0.90767,1.44666,0.59282,0.56213,0.55641,0.22639,2.15052,1.48077,2.0273,0.000160943,0.000160943,0.000160943
97,17112,1.37928,0.90762,1.44194,0.59387,0.56098,0.55728,0.22658,2.15011,1.47496,2.02705,0.000139032,0.000139032,0.000139032
98,17256,1.37157,0.89171,1.43609,0.59604,0.56178,0.55723,0.22705,2.15052,1.47473,2.0263,0.000121968,0.000121968,0.000121968
99,17399.3,1.36411,0.89332,1.43459,0.59039,0.56653,0.55639,0.22674,2.15134,1.47587,2.0291,0.000109768,0.000109768,0.000109768
100,17542.1,1.37492,0.89747,1.4402,0.59449,0.56601,0.55663,0.2265,2.15046,1.47831,2.02917,0.000102443,0.000102443,0.000102443
